sat_building_footprint,sat_tin_roof_area,sat_night_light,svy_total_assets,is_eligible,in_treatment_group
184.92026507955,96.1449324264,0.3400000035762787,525.83887,1,0
19.0475809524,19.0475809524,0.21916666626930237,981.9586,1,0
221.03130396847502,195.2377047621,0.23000000417232513,1661.3828,1,0
303.457442970825,303.457442970825,0.3400000035762787,2135.5,1,0
175.453163832375,154.818284467275,0.21916666626930237,2230.385,1,0
200.4531138324,93.59391712027501,0.17249999940395355,775.38446,1,0
95.6914185942,0.0,0.21916666626930237,1245.2538,1,0
48.35591235832501,48.35591235832501,0.32999998331069946,1061.4753,1,0
329.307731406225,113.6052149661,0.4358333349227905,448.4241,1,0
747.900998526825,492.28926485309995,0.3233333230018616,1765.6376,1,0
1484.4873938325431,940.9261226800786,0.28999999165534973,2175.3845,1,0
418.19644251742506,267.79991791410004,0.375,1289.4786,1,0
140.872734127125,74.48964693885,0.4358333349227905,2114.0479,1,0
47.05206009075,47.05206009075,0.4358333349227905,1106.6829,1,0
97.56216315202501,68.19714251707501,0.2775000035762787,794.6699,1,1
291.55270487557505,214.39866417255004,0.2775000035762787,2567.8577,1,0
50.963616893475006,50.963616893475006,0.2933333218097687,425.87582,1,0
83.900058957,59.240244331125,0.2666666805744171,969.60114,1,0
258.446195124975,198.18554467140004,0.40833333134651184,828.6345,1,0
24.943260771,24.943260771,0.3400000035762787,235.49544,1,0
107.312710544325,79.70505600915,0.40833333134651184,819.4104,1,0
129.76164523822501,44.727801700725,0.2666666805744171,1157.1743,1,0
104.478249093075,0.0,0.40833333134651184,360.28442,1,0
50.169967687124995,50.169967687124995,0.39916667342185974,1320.7076,1,1
88.718643424125,71.711874716625,0.31833332777023315,1388.4033,1,1
216.722922562575,216.722922562575,0.24416665732860565,775.4076,1,1
46.598546258549995,46.598546258549995,0.3583333194255829,2359.3926,1,1
477.720132993675,335.600235828,0.31833332777023315,5665.21,1,1
843.4223494339499,267.1196471658,0.32500001788139343,579.3965,1,0
136.62104195025,0.0,0.2591666579246521,590.79895,1,0
22.732380839025,0.0,0.2591666579246521,351.6453,1,0
1484.4873938325431,940.9261226800786,0.2291666716337204,174.21667,1,0
1484.4873938325431,571.257360884925,0.37166666984558105,1855.0701,1,1
55.498755215475,55.498755215475,0.2750000059604645,508.69467,1,0
259.013087415225,237.92469421792504,0.2758333384990692,1901.2603,1,0
490.13507415015,221.7682639458,0.28833332657814026,4560.284,1,0
74.71640385495,74.71640385495,0.26750001311302185,1685.1775,1,0
695.066637075525,311.393935034325,0.2849999964237213,428.00323,1,1
777.3793976198251,413.547925737375,0.210833340883255,1028.0957,1,0
240.1355741499,146.088143197425,0.26750001311302185,6881.268,1,0
127.77752222235,46.37178934245,0.2133333384990692,717.25055,1,0
121.48501780057502,45.06793707487501,0.14916665852069855,2180.0325,1,0
223.92245464875,212.9247442179,0.16750000417232513,274.2398,1,0
204.02453526097503,177.60735453532502,0.18583333492279053,891.55975,1,0
121.9952208618,95.91817551029999,0.19333332777023315,1434.2179,1,0
354.87457369649997,310.2034612248,0.18583333492279053,559.16754,1,0
171.08809319745,132.59610668947502,0.2133333384990692,807.45056,1,0
