sat_building_footprint,sat_tin_roof_area,svy_total_assets,svy_annual_expenditure,svy_housing_assets,svy_non_housing_assets,sat_night_light
184.92026507955,96.1449324264,525.83887,798.27954,150.57002,375.26883,0.3400000035762787
19.0475809524,19.0475809524,981.9586,3543.8708,107.55001,874.4086,0.21916666626930237
221.03130396847502,195.2377047621,1661.3828,2295.484,430.20004,1231.1827,0.23000000417232513
303.457442970825,303.457442970825,2135.5,2704.9463,1075.5001,1060.0,0.3400000035762787
175.453163832375,154.818284467275,2230.385,4842.1504,1290.6001,939.785,0.21916666626930237
200.4531138324,93.59391712027501,775.38446,3417.6345,537.75006,237.63441,0.17249999940395355
95.6914185942,0.0,1245.2538,3984.9463,430.20004,815.0538,0.21916666626930237
48.35591235832501,48.35591235832501,1061.4753,1049.8925,860.4001,201.07527,0.32999998331069946
329.307731406225,113.6052149661,448.4241,3044.0574,172.08002,276.3441,0.4358333349227905
747.900998526825,492.28926485309995,1765.6376,1943.907,215.10002,1550.5376,0.3233333230018616
1484.4873938325431,940.9261226800786,2175.3845,2040.1433,537.75006,1637.6344,0.28999999165534973
418.19644251742506,267.79991791410004,1289.4786,1430.5376,1075.5001,213.9785,0.375
140.872734127125,74.48964693885,2114.0479,4151.398,322.65002,1791.3978,0.4358333349227905
47.05206009075,47.05206009075,1106.6829,4027.5269,1075.5001,31.182796,0.4358333349227905
291.55270487557505,214.39866417255004,2567.8577,763.871,537.75006,2030.1075,0.2775000035762787
50.963616893475006,50.963616893475006,425.87582,1100.6451,322.65002,103.22581,0.2933333218097687
83.900058957,59.240244331125,969.60114,2375.699,645.30005,324.3011,0.2666666805744171
258.446195124975,198.18554467140004,828.6345,2382.3655,150.57002,678.0645,0.40833333134651184
24.943260771,24.943260771,235.49544,1781.5054,75.28501,181.72043,0.3400000035762787
107.312710544325,79.70505600915,819.4104,2723.441,258.12003,561.29034,0.40833333134651184
129.76164523822501,44.727801700725,1157.1743,663.2258,860.4001,296.7742,0.2666666805744171
104.478249093075,0.0,360.28442,1839.1398,322.65002,37.634407,0.40833333134651184
843.4223494339499,267.1196471658,579.3965,2180.6453,193.59003,385.80646,0.32500001788139343
136.62104195025,0.0,590.79895,964.086,215.10002,375.6989,0.2591666579246521
22.732380839025,0.0,351.6453,1204.7312,150.57002,201.07527,0.2591666579246521
1484.4873938325431,940.9261226800786,174.21667,457.2043,107.55001,66.666664,0.2291666716337204
55.498755215475,55.498755215475,508.69467,265.30756,430.20004,78.49462,0.2750000059604645
259.013087415225,237.92469421792504,1901.2603,3007.742,860.4001,1040.8602,0.2758333384990692
490.13507415015,221.7682639458,4560.284,5448.602,322.65002,4237.6343,0.28833332657814026
74.71640385495,74.71640385495,1685.1775,776.0,1075.5001,609.6774,0.26750001311302185
777.3793976198251,413.547925737375,1028.0957,3890.3225,645.30005,382.7957,0.210833340883255
240.1355741499,146.088143197425,6881.268,4474.839,1075.5001,4642.559,0.26750001311302185
127.77752222235,46.37178934245,717.25055,1308.3871,215.10002,502.15054,0.2133333384990692
121.48501780057502,45.06793707487501,2180.0325,2529.0322,2151.0002,29.032259,0.14916665852069855
223.92245464875,212.9247442179,274.2398,1553.5483,215.10002,59.139786,0.16750000417232513
204.02453526097503,177.60735453532502,891.55975,2499.3547,752.8501,138.70967,0.18583333492279053
121.9952208618,95.91817551029999,1434.2179,2455.484,1613.2501,-39.344086,0.19333332777023315
354.87457369649997,310.2034612248,559.16754,3293.7634,129.06001,430.1075,0.18583333492279053
171.08809319745,132.59610668947502,807.45056,1561.5054,645.30005,162.15054,0.2133333384990692
539.2279464858001,234.750097392525,287.1245,2533.3333,129.06001,158.06451,0.2133333384990692
359.23964433142504,214.17190725645003,2074.4248,3323.441,1075.5001,998.92474,0.1758333295583725
435.65672505712496,260.487007369875,527.9894,847.3118,150.57002,377.41934,0.2133333384990692
215.702516440125,160.5438965988,1623.9797,1086.8817,1505.7002,118.27957,0.18250000476837158
90.64607721097501,66.269708730225,897.89575,2218.7097,215.10002,682.7957,0.20000000298023224
836.0527496606999,337.584358843875,642.6963,771.1828,537.75006,104.946236,0.26249998807907104
773.1843946719752,443.1963925174499,1374.2305,2753.5483,172.08002,1202.1505,0.19833333790302277
141.4963156464,141.4963156464,420.47638,658.4946,215.10002,205.37634,0.20749999582767487
114.22879648537501,30.725562131550003,997.9882,762.1505,645.30005,352.68817,0.20916666090488434
25.736909977350006,0.0,240.87872,2408.8171,86.04001,154.83871,0.18916666507720947
321.597996258825,251.36004149685,4306.75,4323.0107,387.18005,3919.5698,0.19833333790302277
307.879202834775,239.56868185965,771.0371,978.0645,322.65002,448.3871,0.20916666090488434
110.65737505679999,110.65737505679999,744.1785,1070.1075,430.20004,313.9785,0.18000000715255737
132.14259285727502,103.45784297062502,3659.8335,1179.57,3226.5002,433.33334,0.18916666507720947
98.97939387765,18.423999433125,197.91884,7075.269,322.65002,-39.344086,0.19833333790302277
189.90891723375,111.11088888900001,303.2998,3240.0,344.16003,-39.344086,0.20333333313465118
68.14045328805001,43.820774036325005,1058.1107,1630.9678,215.10002,843.01074,0.20333333313465118
271.25796088462505,145.86138628132503,2836.8828,3585.5913,1505.7002,1331.1827,0.2133333384990692
111.961227324375,111.961227324375,1178.564,2478.2795,322.65002,855.914,0.25
448.978693878,395.06723707522497,460.2382,3530.8386,107.55001,352.68817,0.1899999976158142
230.8385405898,154.25139217702502,2093.5947,3270.5376,215.10002,1878.4946,0.1899999976158142
266.382687188475,157.3692997734,426.90024,775.0538,86.04001,340.86023,0.20499999821186066
