x,beta,se,outcome,iter,placebo
1,6.744149976210056,NA,building_footprint,30,1
2,7.259467343361993,NA,building_footprint,30,1
3,8.006030466992035,NA,building_footprint,30,1
0,0,0,building_footprint,31,1
1,10.223288331912347,NA,building_footprint,31,1
2,6.54075998478274,NA,building_footprint,31,1
3,7.292546653845847,NA,building_footprint,31,1
0,0,0,building_footprint,32,1
1,0.584760434270071,NA,building_footprint,32,1
2,13.202240553085863,NA,building_footprint,32,1
3,19.309018009147316,NA,building_footprint,32,1
0,0,0,building_footprint,33,1
1,-0.4768959770990084,NA,building_footprint,33,1
2,-4.4117391565931605,NA,building_footprint,33,1
3,8.672577059566512,NA,building_footprint,33,1
0,0,0,building_footprint,34,1
1,0.8920965231481357,NA,building_footprint,34,1
2,-9.876491005098407,NA,building_footprint,34,1
3,5.714858984368693,NA,building_footprint,34,1
0,0,0,building_footprint,35,1
1,1.466494215025966,NA,building_footprint,35,1
2,1.4156297873273171,NA,building_footprint,35,1
3,10.503310695799447,NA,building_footprint,35,1
0,0,0,building_footprint,36,1
1,1.55098724383094,NA,building_footprint,36,1
2,3.585693162304449,NA,building_footprint,36,1
3,2.004735662143258,NA,building_footprint,36,1
0,0,0,building_footprint,37,1
1,-6.245940593238733,NA,building_footprint,37,1
2,0.996112838072553,NA,building_footprint,37,1
3,-16.379882201319983,NA,building_footprint,37,1
0,0,0,building_footprint,38,1
1,13.425597325446669,NA,building_footprint,38,1
2,17.545093024302638,NA,building_footprint,38,1
3,5.648460268920651,NA,building_footprint,38,1
0,0,0,building_footprint,39,1
1,11.567757867926147,NA,building_footprint,39,1
2,-4.828415950631943,NA,building_footprint,39,1
3,14.32873027414168,NA,building_footprint,39,1
0,0,0,building_footprint,40,1
1,3.471027238796358,NA,building_footprint,40,1
2,12.939727332154698,NA,building_footprint,40,1
3,0.37577852862788125,NA,building_footprint,40,1
0,0,0,building_footprint,41,1
1,-4.380757724666204,NA,building_footprint,41,1
2,-2.890089741117029,NA,building_footprint,41,1
3,-14.924841957221215,NA,building_footprint,41,1
0,0,0,building_footprint,42,1
1,-5.856421586492686,NA,building_footprint,42,1
2,-9.752499573532077,NA,building_footprint,42,1
3,-0.7248966106648519,NA,building_footprint,42,1
0,0,0,building_footprint,43,1
1,4.456223604534817,NA,building_footprint,43,1
2,0.0603850937033262,NA,building_footprint,43,1
3,-0.4041895553013372,NA,building_footprint,43,1
0,0,0,building_footprint,44,1
1,4.452264299255909,NA,building_footprint,44,1
2,-4.547669793175744,NA,building_footprint,44,1
3,13.210813147896436,NA,building_footprint,44,1
0,0,0,building_footprint,45,1
1,2.083288197219721,NA,building_footprint,45,1
2,1.5980647842895752,NA,building_footprint,45,1
3,7.646896430436262,NA,building_footprint,45,1
0,0,0,building_footprint,46,1
1,0.7774797507017409,NA,building_footprint,46,1
2,-6.802531672302288,NA,building_footprint,46,1
3,1.820539631711101,NA,building_footprint,46,1
0,0,0,building_footprint,47,1
1,-5.607789082161718,NA,building_footprint,47,1
2,-7.165018697766193,NA,building_footprint,47,1
3,-7.972381486385695,NA,building_footprint,47,1
0,0,0,building_footprint,48,1
1,-5.385411160408437,NA,building_footprint,48,1
2,-7.248797670674868,NA,building_footprint,48,1
3,0.581296241727127,NA,building_footprint,48,1
0,0,0,building_footprint,49,1
1,-9.327522553216584,NA,building_footprint,49,1
2,4.571253501347643,NA,building_footprint,49,1
3,-11.103040208851649,NA,building_footprint,49,1
0,0,0,building_footprint,50,1
1,5.196396260811301,NA,building_footprint,50,1
2,11.134141055967897,NA,building_footprint,50,1
3,1.2681939569936214,NA,building_footprint,50,1
0,0,0,building_footprint,51,1
1,-11.038938424627982,NA,building_footprint,51,1
2,-20.83964213874751,NA,building_footprint,51,1
3,-10.328709960233137,NA,building_footprint,51,1
0,0,0,building_footprint,52,1
1,-4.5691909239363735,NA,building_footprint,52,1
2,-15.844099724401913,NA,building_footprint,52,1
3,-0.8250496389702032,NA,building_footprint,52,1
0,0,0,building_footprint,53,1
1,-2.850430738737124,NA,building_footprint,53,1
2,1.037714205617391,NA,building_footprint,53,1
3,-4.8568185496280805,NA,building_footprint,53,1
0,0,0,building_footprint,54,1
1,3.40430574060654,NA,building_footprint,54,1
2,-9.84091926257854,NA,building_footprint,54,1
3,3.9631291595243643,NA,building_footprint,54,1
0,0,0,building_footprint,55,1
1,-2.4908863550932256,NA,building_footprint,55,1
2,-2.3694214806317584,NA,building_footprint,55,1
3,-17.20042898687678,NA,building_footprint,55,1
0,0,0,building_footprint,56,1
1,10.481628160638156,NA,building_footprint,56,1
2,6.397702536405789,NA,building_footprint,56,1
3,7.817397280148509,NA,building_footprint,56,1
0,0,0,building_footprint,57,1
1,-5.06064252098881,NA,building_footprint,57,1
2,-0.9514037212083454,NA,building_footprint,57,1
3,4.428110821916668,NA,building_footprint,57,1
0,0,0,building_footprint,58,1
1,0.853480179206965,NA,building_footprint,58,1
2,-4.557298311766292,NA,building_footprint,58,1
3,-27.491819093838593,NA,building_footprint,58,1
0,0,0,building_footprint,59,1
1,4.04680251934844,NA,building_footprint,59,1
2,8.66292537021682,NA,building_footprint,59,1
3,5.753768504113985,NA,building_footprint,59,1
0,0,0,building_footprint,60,1
1,2.0755194917101885,NA,building_footprint,60,1
2,-10.487220489567912,NA,building_footprint,60,1
3,5.032928864063457,NA,building_footprint,60,1
0,0,0,building_footprint,61,1
1,6.08486229329077,NA,building_footprint,61,1
2,-6.533665535670525,NA,building_footprint,61,1
3,12.773017221052898,NA,building_footprint,61,1
0,0,0,building_footprint,62,1
1,-7.0587954612773425,NA,building_footprint,62,1
2,-7.988305950757328,NA,building_footprint,62,1
3,-9.135174391062348,NA,building_footprint,62,1
0,0,0,building_footprint,63,1
1,6.43683816544573,NA,building_footprint,63,1
2,-1.5497484713300536,NA,building_footprint,63,1
3,9.925335503236134,NA,building_footprint,63,1
0,0,0,building_footprint,64,1
1,3.288217084028987,NA,building_footprint,64,1
2,21.206188000450688,NA,building_footprint,64,1
3,1.7870521271358935,NA,building_footprint,64,1
0,0,0,building_footprint,65,1
1,6.939929137458262,NA,building_footprint,65,1
2,8.412312768374893,NA,building_footprint,65,1
3,-1.5807979788213782,NA,building_footprint,65,1
0,0,0,building_footprint,66,1
1,10.944414040515886,NA,building_footprint,66,1
2,16.939664892653706,NA,building_footprint,66,1
3,1.4775736100736916,NA,building_footprint,66,1
0,0,0,building_footprint,67,1
1,-2.341023769348286,NA,building_footprint,67,1
2,-9.143067636621552,NA,building_footprint,67,1
3,-5.170240650928293,NA,building_footprint,67,1
0,0,0,building_footprint,68,1
1,1.0760186310667457,NA,building_footprint,68,1
2,-19.404033438957104,NA,building_footprint,68,1
3,-13.573656763765042,NA,building_footprint,68,1
0,0,0,building_footprint,69,1
1,-16.555491590818676,NA,building_footprint,69,1
2,-11.091203303677048,NA,building_footprint,69,1
3,-16.842982759412457,NA,building_footprint,69,1
0,0,0,building_footprint,70,1
1,-3.0572074525197968,NA,building_footprint,70,1
2,12.657775433699655,NA,building_footprint,70,1
3,23.9625936268118,NA,building_footprint,70,1
0,0,0,building_footprint,71,1
1,-0.08722490767763323,NA,building_footprint,71,1
