census_population_count,satellite_night_light,satellite_number_of_houses
14,0.15666666626930237,8
184,0.7408333420753479,90
12,0.20083333551883698,4
12,0.25083333253860474,9
55,0.44749999046325684,8
212,0.3108333349227905,71
24,0.21833333373069763,5
738,0.45333331823349,213
144,0.4266666769981384,60
511,1.846666693687439,248
379,0.6483333110809326,123
993,0.9791666865348816,301
589,0.35083332657814026,162
8,0.24416665732860565,3
1393,3.308333396911621,434
114,0.19333332777023315,17
15,0.19083333015441895,18
99,0.5724999904632568,101
27,0.9658333659172058,60
16,0.4358333349227905,12
667,5.639999866485596,382
677,2.9166667461395264,344
11,0.17666666209697723,12
18,0.17499999701976776,21
29,0.17416666448116302,1
12,0.17666666209697723,42
55,0.21916666626930237,35
21,0.19083333015441895,16
34,0.2058333307504654,15
560,1.254166603088379,485
44,0.17000000178813934,6
79,0.6808333396911621,125
10,0.1966666579246521,2
25,1.128333330154419,67
78,1.0449999570846558,128
84,0.7366666793823242,87
14,0.16333332657814026,4
17,0.25999999046325684,14
9,0.18000000715255737,3
38,0.7524999976158142,51
482,2.568333387374878,115
784,2.5791666507720947,411
345,1.340833306312561,78
295,1.9474999904632568,82
31,0.398333340883255,23
211,2.2658333778381348,48
31,0.1733333319425583,27
19,0.18333333730697632,3
269,0.22083333134651184,39
75,0.18916666507720947,43
7,0.23999999463558197,13
192,0.19333332777023315,6
281,0.862500011920929,239
192,0.1733333319425583,1
21,0.16750000417232513,1
1584,10.603333473205566,514
94,0.2916666567325592,93
14,0.20499999821186066,10
48,0.22333332896232605,10
20,0.148333340883255,11
11,0.1550000011920929,31
68,0.9041666388511658,31
247,0.5400000214576721,39
20,0.2933333218097687,18
22,0.38749998807907104,10
58,0.5325000286102295,39
66,0.47833332419395447,64
1911,2.9591667652130127,377
49,0.45666664838790894,52
412,0.37833333015441895,137
152,0.3291666507720947,85
13,0.17416666448116302,17
159,0.26583331823349,53
2326,3.123333215713501,514
17,0.46416667103767395,1
694,1.3566666841506958,197
20,0.17083333432674408,1
270,0.5291666388511658,168
32,0.25,11
39,0.17249999940395355,12
211,0.33666667342185974,62
35,0.32750001549720764,31
316,2.2850000858306885,99
1476,2.808333396911621,210
21,0.6924999952316284,36
966,1.306666612625122,92
256,1.7616666555404663,132
22,0.3766666650772095,5
18,0.18916666507720947,3
24,0.16500000655651093,7
10,0.20916666090488434,2
1272,1.2166666984558105,78
15,0.1508333384990692,8
305,0.5683333277702332,204
102,0.17000000178813934,58
19,0.2150000035762787,9
34,0.14750000834465027,12
173,1.0166666507720947,122
16,0.16083332896232605,8
29,0.29499998688697815,16
62,0.15916666388511658,5
39,0.19750000536441803,2
15,0.1758333295583725,4
884,1.3108333349227905,357
187,0.2983333468437195,65
79,0.4124999940395355,51
8,0.30250000953674316,7
216,0.9008333683013916,48
537,1.1366666555404663,167
81,0.9175000190734863,205
100,1.1349999904632568,140
1070,2.25083327293396,331
805,0.3816666603088379,180
83,0.2016666680574417,21
171,0.19749999046325684,8
78,0.2199999988079071,39
226,0.3675000071525574,81
22,0.25833332538604736,47
163,0.1691666692495346,25
160,0.25333333015441895,72
69,0.49166667461395264,20
2215,1.7716666460037231,519
76,0.21583333611488342,32
37,0.19499999284744263,23
58,0.29666668176651,51
32,0.1783333271741867,8
93,0.2866666615009308,32
40,0.2608333230018616,40
187,0.621666669845581,95
43,0.3016666769981384,11
92,0.4424999952316284,42
67,0.2666666805744171,20
865,1.31333327293396,216
621,0.5616666674613953,71
187,1.2408332824707031,70
243,0.5633333325386047,86
279,0.550000011920929,158
218,0.4441666603088379,52
33,0.4883333146572113,44
263,1.1449999809265137,237
242,0.4516666531562805,69
527,0.5258333086967468,125
10,0.2433333396911621,16
25,0.4791666567325592,34
808,3.5266666412353516,261
280,2.065833330154419,185
28,0.9599999785423279,14
107,0.38083332777023315,2
79,0.6675000190734863,60
78,0.3466666638851166,42
134,0.7141666412353516,41
28,0.4599999785423279,46
4,0.19583334028720856,10
5,0.273333340883255,9
4,0.19750000536441803,6
19,0.8666666746139526,39
129,1.0433332920074463,82
369,2.2983334064483643,125
17,0.20000000298023224,27
267,1.2141666412353516,128
654,0.9024999737739563,99
152,0.2475000023841858,7
212,3.310833215713501,14
453,1.819166660308838,182
85,0.2783333361148834,47
19,0.2683333456516266,11
47,0.24250000715255737,61
76,0.3933333158493042,60
75,1.8291666507720947,20
20,0.3174999952316284,16
32,26.40916633605957,284
61,0.40666666626930237,32
46,0.19583332538604736,40
11,0.2016666680574417,14
11,0.20749999582767487,9
14,0.22583332657814026,4
195,0.6025000214576721,18
268,0.2958333492279053,113
204,0.36916667222976685,112
580,8.689167022705078,156
206,0.3791666626930237,108
304,0.3583333194255829,137
16,0.2849999964237213,13
603,0.4308333396911621,101
343,0.4541666805744171,91
10,0.24583333730697632,5
789,3.3466665744781494,107
942,2.3316667079925537,191
332,1.50083327293396,178
193,1.2933332920074463,90
776,1.59416663646698,188
126,0.26499998569488525,74
10,0.24833333492279053,10
27,0.16249999403953552,21
14,0.2475000023841858,24
32,0.18666666746139526,0
110,0.24833333492279053,0
